Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
[TFC]sassy,+307.60%,+253.10%,+277.10%,+39.00%,-39.00%,+389.56%,+330.24%,+737.70%,+1177.99%,+1256.20%,+122.50%,-130.00%,+273.00%,+574.00%,+1526.00%,+1141.00%,+955.35%,+130.25%,-124.50%,+363.00%,+336.00%,+2073.05%,+1350.00%,+971.70%,+136.25%,-118.50%,+594.00%,+477.00%,+1537.85%,+388.05%,+978.00%,+126.00%,-108.50%,+238.00%,+234.00%,+20.00%
[TFC]Michy,+237.10%,+244.60%,+269.60%,+40.00%,-40.00%,+344.52%,+257.50%,+984.70%,+1415.20%,+1210.99%,+136.50%,-133.50%,+92.00%,+215.00%,+2285.05%,+1518.00%,+1432.70%,+156.00%,-151.00%,+327.00%,+183.00%,+1395.75%,+1154.00%,+718.35%,+139.75%,-128.75%,+101.00%,+57.00%,+1168.10%,+369.00%,+819.50%,+33.85%,-25.00%,+66.00%,+49.00%,+21.50%
lulu,+391.35%,+327.35%,+354.85%,+43.75%,-43.75%,+514.48%,+521.08%,+1028.70%,+1400.57%,+1501.62%,+166.75%,-175.75%,+406.00%,+672.00%,+2311.00%,+1976.35%,+1500.85%,+186.50%,-144.75%,+621.00%,+455.00%,+2602.05%,+2094.70%,+820.00%,+182.50%,-170.75%,+552.00%,+337.00%,+652.50%,+652.50%,+1338.00%,+162.25%,-160.50%,+304.00%,+113.00%,+22.50%
[TFC]TEDDYBEAR,+402.85%,+352.85%,+352.85%,+43.75%,-43.75%,+600.00%,+600.00%,+1196.70%,+1232.57%,+1411.62%,+144.75%,-161.00%,+700.00%,+700.00%,+2120.00%,+1528.35%,+1128.35%,+159.00%,-144.75%,+700.00%,+700.00%,+2278.05%,+1657.70%,+822.00%,+152.75%,-142.75%,+700.00%,+700.00%,+1924.50%,+756.50%,+1412.50%,+152.75%,-142.75%,+644.00%,+565.00%,+24.00%
[TFC]theSacteR,+306.60%,+270.60%,+290.10%,+39.00%,-39.00%,+376.72%,+335.32%,+1746.70%,+2023.00%,+1594.20%,+136.50%,-145.75%,+97.00%,+299.00%,+1952.50%,+1198.50%,+990.35%,+146.00%,-130.50%,+185.00%,+137.00%,+2093.35%,+1232.00%,+912.00%,+157.00%,-132.50%,+303.00%,+201.00%,+1192.50%,+777.50%,+1077.00%,+80.10%,-57.60%,+132.50%,+71.00%,+25.50%
[TFC]ภ๊๏๊ภ๊,+285.85%,+227.60%,+257.60%,+43.75%,-41.50%,+225.28%,+135.32%,+924.70%,+1525.20%,+1382.92%,+142.75%,-147.75%,+131.00%,+141.00%,+2384.55%,+1487.50%,+1326.20%,+167.50%,-134.75%,+328.00%,+218.00%,+1405.25%,+1019.00%,+530.85%,+150.75%,-126.50%,+122.00%,+95.00%,+1221.10%,+377.00%,+840.00%,+46.85%,-25.00%,+128.50%,+69.00%,+21.00%
[TFC]LWS,+282.60%,+244.60%,+257.60%,+41.50%,-41.50%,+295.00%,+174.20%,+752.20%,+1202.07%,+1607.12%,+134.75%,-145.75%,+77.00%,+239.00%,+1470.00%,+1084.85%,+782.85%,+142.50%,-122.50%,+145.00%,+91.00%,+2197.05%,+1674.70%,+872.00%,+157.00%,-134.75%,+348.00%,+216.00%,+1240.00%,+412.00%,+827.00%,+85.00%,-59.50%,+113.00%,+83.00%,+22.00%
[TFC]ХАЛЛ,+301.71%,+257.10%,+257.10%,+40.00%,-40.00%,+415.84%,+276.12%,+807.70%,+1760.04%,+1286.57%,+136.50%,-142.00%,+161.00%,+305.00%,+2436.05%,+1665.70%,+1086.85%,+158.25%,-122.50%,+353.00%,+245.00%,+1220.00%,+1145.00%,+741.70%,+144.75%,-122.50%,+176.00%,+134.00%,+869.20%,+591.70%,+344.60%,+47.50%,-25.00%,+103.00%,+81.00%,+24.00%
[TFC]†•.ศเ้ดอเ.•†,+322.21%,+241.10%,+258.60%,+41.50%,-40.00%,+241.48%,+232.84%,+870.70%,+1532.62%,+1249.92%,+136.50%,-122.25%,+184.00%,+210.00%,+2255.05%,+1723.00%,+1236.70%,+148.50%,-124.75%,+505.00%,+350.00%,+1120.25%,+1030.50%,+634.35%,+138.25%,-118.50%,+143.00%,+115.00%,+867.80%,+544.20%,+268.00%,+30.75%,-21.40%,+118.00%,+63.00%,+20.00%
[TFC]坏小子,+354.21%,+237.60%,+263.10%,+39.00%,-39.00%,+302.72%,+216.96%,+696.70%,+1704.04%,+1212.57%,+136.25%,-136.25%,+95.00%,+232.00%,+2300.55%,+1722.70%,+865.00%,+142.25%,-128.75%,+301.00%,+190.00%,+1047.50%,+1051.50%,+733.20%,+85.20%,-71.70%,+93.00%,+73.00%,+606.70%,+372.50%,+322.50%,+48.70%,-27.70%,+81.00%,+53.00%,+22.00%
[TFC]-KHAN-,+239.10%,+205.60%,+264.60%,+37.50%,-40.00%,+388.08%,+124.08%,+918.00%,+1317.92%,+1195.49%,+57.15%,-57.15%,+98.00%,+183.00%,+957.95%,+514.70%,+638.85%,+44.88%,-51.00%,+89.00%,+89.00%,+2094.70%,+1849.05%,+1140.00%,+151.15%,-134.00%,+354.00%,+183.00%,+813.50%,+276.50%,+379.00%,+44.00%,-22.50%,+90.00%,+69.00%,+21.00%
[TFC]MEHRAB•,+273.60%,+244.60%,+259.10%,+39.00%,-39.00%,+332.08%,+175.00%,+1086.00%,+1581.34%,+1116.57%,+126.50%,-138.00%,+70.00%,+224.00%,+976.70%,+615.20%,+700.50%,+128.50%,-124.50%,+66.00%,+60.00%,+2074.70%,+1505.35%,+1291.20%,+146.00%,-126.50%,+376.00%,+202.00%,+1045.35%,+591.00%,+922.50%,+37.70%,-26.20%,+66.00%,+60.00%,+21.50%
[TFC]TAREK ♂,+386.35%,+336.35%,+342.85%,+43.75%,-43.75%,+600.00%,+506.16%,+1066.70%,+1262.57%,+1423.62%,+134.50%,-179.75%,+700.00%,+700.00%,+1883.00%,+1488.35%,+1393.35%,+163.00%,-142.75%,+700.00%,+594.00%,+2340.05%,+1945.70%,+926.00%,+165.25%,-164.75%,+700.00%,+700.00%,+1595.50%,+638.50%,+1233.00%,+147.25%,-158.50%,+630.00%,+630.00%,+20.00%
[TFC]SOUL,+394.35%,+326.35%,+352.85%,+43.75%,-43.75%,+601.00%,+376.16%,+928.70%,+1483.99%,+1336.20%,+142.75%,-182.00%,+410.00%,+700.00%,+2262.00%,+1438.00%,+1572.35%,+171.50%,-151.00%,+700.00%,+406.00%,+2682.05%,+1925.00%,+1433.70%,+180.25%,-173.00%,+616.00%,+378.00%,+1799.85%,+697.50%,+1348.00%,+165.75%,-160.50%,+238.00%,+208.00%,+24.50%
