Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K292,(404)FreedomALL_340,382.10%,334.85%,388.85%,47.50%,-43.75%,336.68%,434.84%,1151.70%,1578.49%,1740.70%,196.50%,-201.50%,479.00%,900.00%,2375.50%,1742.00%,1559.85%,212.50%,-194.50%,900.00%,401.00%,2681.05%,1495.50%,1460.20%,214.50%,-168.50%,900.00%,668.00%,1691.85%,778.50%,1280.50%,181.50%,-158.50%,560.00%,245.00%,20.00%
K292,(404)MAXIMUS,234.21%,209.60%,216.60%,41.50%,-40.00%,162.20%,74.58%,849.20%,1393.55%,1257.42%,130.75%,-134.65%,92.00%,146.00%,2087.30%,1286.50%,989.20%,133.50%,-129.50%,257.00%,176.00%,940.75%,774.00%,478.35%,67.55%,-46.90%,71.00%,45.00%,908.30%,582.20%,267.50%,48.25%,-24.10%,56.00%,25.00%,12.00%
K292,(404)LOKi,281.21%,236.10%,280.10%,40.00%,-40.00%,139.12%,79.94%,627.70%,1468.12%,1225.92%,130.75%,-145.75%,98.00%,225.00%,2173.05%,1351.50%,974.20%,146.25%,-145.50%,224.00%,128.00%,813.75%,808.50%,400.85%,40.50%,-28.00%,60.00%,45.00%,911.80%,545.70%,339.00%,37.35%,-26.50%,54.00%,45.00%,20.00%
K292,(404)PHANTOM_292,251.10%,224.10%,294.60%,41.50%,-41.50%,315.00%,238.48%,872.20%,1462.20%,1309.92%,140.75%,-152.50%,128.00%,225.00%,2330.05%,1537.50%,1291.70%,150.00%,-144.75%,316.00%,199.00%,1123.75%,920.50%,442.35%,71.50%,-71.50%,109.00%,77.00%,1166.10%,251.00%,746.00%,59.45%,-69.60%,82.00%,50.00%,20.00%
K292,(404)magic°star,432.85%,345.85%,366.85%,43.75%,-43.75%,600.00%,517.92%,1280.20%,1835.07%,2004.12%,162.50%,-171.50%,322.00%,700.00%,2180.50%,1582.85%,1333.85%,167.50%,-140.75%,598.00%,484.00%,2824.55%,1573.20%,758.50%,184.50%,-144.75%,700.00%,631.00%,1596.50%,834.00%,1472.00%,146.50%,-136.50%,509.00%,266.00%,22.50%
K292,(404)habib,281.60%,262.10%,298.60%,43.75%,-41.50%,290.44%,263.44%,697.20%,1226.07%,1607.12%,142.75%,-155.00%,71.00%,349.00%,1546.50%,1299.85%,983.85%,148.25%,-134.50%,200.00%,72.00%,2310.55%,1702.20%,885.50%,162.75%,-136.75%,399.00%,186.00%,1248.00%,527.00%,980.50%,134.50%,-128.50%,107.00%,61.00%,21.00%
K292,(404)Na7ro,444.10%,395.10%,407.10%,47.50%,-47.50%,601.00%,490.72%,1458.20%,1931.49%,1917.70%,196.50%,-224.50%,488.00%,900.00%,1903.50%,1580.50%,1410.85%,204.50%,-184.50%,519.00%,427.00%,2793.55%,1848.50%,1213.20%,226.50%,-196.50%,900.00%,632.00%,1951.85%,883.00%,1545.00%,204.50%,-182.50%,666.00%,447.00%,20.00%
K292,(404)Sami13,359.46%,233.10%,251.10%,43.75%,-41.50%,256.32%,162.84%,971.40%,1708.12%,1486.43%,130.75%,-147.00%,150.00%,315.00%,2112.35%,1436.50%,938.75%,164.50%,-127.75%,420.00%,267.00%,1093.95%,853.50%,434.85%,57.75%,-40.00%,84.00%,68.00%,875.20%,623.70%,312.00%,57.00%,-39.00%,95.00%,68.00%,20.00%
K292,(404)Elvin,312.60%,261.85%,290.35%,43.75%,-43.75%,504.52%,254.88%,868.70%,1185.57%,1454.12%,138.75%,-161.25%,193.00%,430.00%,1926.50%,1661.35%,1017.35%,163.25%,-138.75%,498.00%,306.00%,2191.55%,1791.20%,936.50%,147.00%,-138.75%,347.00%,228.00%,1296.00%,391.00%,926.50%,129.00%,-132.50%,92.00%,73.00%,20.00%
K292,(404)MADxFmAb,291.71%,230.60%,268.60%,40.00%,-40.00%,340.40%,137.52%,720.70%,1560.12%,1449.92%,134.75%,-144.00%,89.00%,333.00%,2296.55%,1440.00%,1078.70%,147.00%,-131.25%,220.00%,117.00%,913.00%,853.50%,488.85%,55.50%,-37.00%,86.00%,55.00%,898.55%,652.70%,273.00%,42.00%,-25.00%,75.00%,53.00%,22.00%
K292,(404)IGI,332.85%,260.35%,294.85%,43.75%,-41.50%,192.52%,202.40%,907.20%,1567.70%,1565.42%,151.00%,-160.75%,185.00%,319.00%,2452.55%,1640.50%,1486.20%,177.75%,-151.00%,420.00%,293.00%,1277.50%,919.00%,511.85%,62.00%,-41.00%,191.00%,149.00%,1231.35%,456.00%,844.00%,62.20%,-43.70%,91.00%,77.00%,20.50%



