Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K212,(FOV)小小十部队,386.35%,325.85%,339.85%,43.75%,-43.75%,600.00%,578.40%,1477.70%,1810.50%,1269.70%,136.50%,-159.00%,233.00%,700.00%,2181.50%,1718.00%,1562.35%,167.25%,-144.75%,700.00%,492.00%,2320.35%,1342.00%,1350.00%,161.00%,-142.75%,453.00%,414.00%,1549.00%,996.50%,1360.00%,149.25%,-136.50%,411.00%,257.00%,21.00%
K212,(FOV)Yasso,390.85%,351.35%,358.85%,43.75%,-43.75%,600.00%,500.00%,1086.70%,1601.49%,1637.70%,144.75%,-171.25%,411.00%,700.00%,1594.50%,1218.00%,1103.35%,152.75%,-142.75%,379.00%,232.00%,2668.05%,1808.00%,1317.70%,165.25%,-144.75%,654.00%,389.00%,1827.35%,811.50%,1460.00%,152.75%,-136.50%,560.00%,260.00%,23.00%
K212,(FOV)ツCEO,326.71%,240.10%,242.10%,40.00%,-40.00%,419.52%,52.38%,884.20%,1769.04%,1279.07%,142.75%,-140.25%,115.00%,208.00%,2323.55%,1747.70%,922.00%,145.75%,-140.75%,396.00%,179.00%,1190.00%,1173.50%,906.20%,131.75%,-124.75%,107.00%,61.00%,958.70%,642.20%,389.00%,46.50%,-35.50%,47.00%,39.00%,21.00%
K212,(FOV)星尘·落幕,328.35%,270.35%,315.85%,43.75%,-41.50%,437.84%,411.44%,848.70%,1431.07%,1680.12%,142.75%,-158.50%,79.00%,511.00%,1684.50%,1340.35%,1010.85%,161.00%,-144.75%,448.00%,276.00%,2461.55%,1879.70%,1023.00%,158.75%,-134.75%,314.00%,127.00%,1336.00%,430.50%,1032.00%,133.70%,-119.20%,120.00%,41.00%,22.50%
K212,(FOV)毅神自起,331.46%,240.60%,266.60%,41.50%,-41.50%,600.00%,184.64%,787.70%,1412.62%,1185.99%,136.50%,-154.50%,68.00%,390.00%,2429.55%,1609.00%,1199.70%,156.00%,-144.75%,420.00%,182.00%,1605.00%,1232.00%,1110.35%,143.00%,-134.75%,373.00%,151.00%,1126.05%,689.20%,443.50%,121.00%,-128.50%,105.00%,75.00%,22.00%
K212,(FOV)阿斌哥,297.35%,232.60%,305.10%,43.75%,-41.50%,496.12%,456.72%,1568.00%,1930.50%,1458.49%,142.75%,-154.50%,102.00%,362.00%,2286.20%,1345.00%,1134.70%,156.50%,-148.75%,420.00%,215.00%,1871.00%,1210.00%,914.00%,152.25%,-140.75%,394.00%,225.00%,1245.35%,629.50%,837.00%,91.20%,-77.70%,93.00%,72.00%,22.00%
K212,(FOV)招财进宝,318.71%,237.60%,257.60%,43.75%,-41.50%,410.80%,394.72%,852.70%,1627.12%,1393.49%,142.75%,-151.00%,149.00%,288.00%,2509.55%,1617.00%,1158.70%,160.50%,-136.75%,406.00%,238.00%,1167.50%,1141.50%,665.35%,146.00%,-130.50%,159.00%,99.00%,1052.05%,595.20%,296.00%,70.40%,-64.40%,96.00%,68.00%,
K212,(FOV)OKSİJENnn,333.21%,234.60%,278.10%,37.50%,-39.00%,306.22%,255.04%,1339.70%,2093.92%,1504.70%,138.50%,-142.50%,128.00%,426.00%,1928.75%,1625.00%,1105.35%,135.75%,-140.75%,462.00%,241.00%,1171.10%,897.50%,673.50%,46.75%,-30.60%,152.00%,81.00%,832.95%,880.20%,354.00%,41.55%,-25.40%,83.00%,51.00%,18.50%
K212,(FOV)DİRİLİŞ,258.60%,244.60%,270.10%,40.00%,-41.50%,342.88%,350.00%,558.70%,1442.70%,1399.49%,130.50%,-148.25%,105.00%,232.00%,2309.55%,1586.00%,1488.20%,138.25%,-138.50%,333.00%,203.00%,1465.50%,1012.50%,535.85%,51.00%,-45.50%,114.00%,87.00%,1399.35%,339.00%,854.50%,38.50%,-25.00%,96.00%,55.00%,24.00%
K212,(FOV)领导者ILTERİŞ,339.35%,286.60%,327.60%,43.75%,-41.50%,506.20%,466.88%,1764.70%,2011.50%,1640.70%,130.50%,-154.50%,106.00%,616.00%,2143.50%,1359.00%,1163.35%,176.25%,-134.75%,626.00%,309.00%,2322.35%,1379.00%,1063.00%,168.50%,-136.75%,608.00%,285.00%,1605.50%,822.00%,1127.00%,156.00%,-128.50%,253.00%,125.00%,22.50%
K212,(FOV)流浪小生,514.10%,454.10%,494.10%,47.50%,-47.50%,602.00%,600.00%,1637.00%,2480.92%,1299.07%,170.50%,-209.75%,700.00%,900.00%,2706.50%,1873.00%,1759.00%,193.50%,-169.75%,900.00%,522.00%,2997.70%,2401.00%,2129.70%,196.50%,-197.50%,700.00%,700.00%,2394.35%,1174.50%,1703.00%,207.00%,-184.50%,700.00%,323.00%,22.50%
K212,(FOV)大奉许白嫖,328.60%,245.60%,280.10%,41.50%,-41.50%,405.44%,403.16%,756.20%,1679.12%,1222.07%,124.50%,-154.00%,72.00%,215.00%,2336.55%,1798.70%,1203.50%,149.00%,-144.75%,350.00%,203.00%,1491.50%,1148.00%,748.70%,140.75%,-128.50%,192.00%,106.00%,1251.00%,449.50%,1071.00%,69.00%,-35.50%,81.00%,67.00%,22.00%



