Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K48,(TOP)Ayaska,254.10%,236.10%,200.60%,40.00%,-2.50%,300.96%,163.20%,722.20%,1088.49%,1232.20%,142.75%,-140.25%,116.00%,245.00%,1586.75%,1160.00%,946.35%,51.75%,-49.25%,319.00%,158.00%,1931.30%,1148.50%,1030.20%,128.40%,-124.75%,178.00%,103.00%,1342.60%,414.50%,802.50%,128.40%,-116.50%,98.00%,53.00%,17.50%
K48,(TOP)#LB#,434.85%,284.85%,325.85%,43.75%,-43.75%,563.30%,319.32%,1227.90%,1415.79%,1415.20%,142.75%,-165.25%,309.00%,467.00%,2272.85%,1853.00%,1426.85%,167.25%,-144.75%,457.00%,300.00%,2097.85%,1294.50%,1109.85%,142.75%,-142.75%,223.00%,171.00%,1445.50%,490.00%,1017.00%,79.80%,-77.80%,185.00%,156.00%,23.00%
K48,(TOP)SCORP,242.10%,194.60%,231.10%,38.50%,-38.50%,229.76%,174.28%,714.20%,1218.49%,1188.13%,118.50%,-131.35%,117.00%,117.00%,1297.75%,1081.50%,765.35%,45.85%,-26.50%,229.00%,172.50%,1754.30%,1192.00%,852.20%,119.00%,-114.50%,37.50%,28.50%,1212.60%,262.00%,750.50%,50.85%,-42.00%,18.00%,17.00%,21.00%
K48,(TOP)LOKI,253.10%,225.60%,270.10%,41.50%,-41.50%,114.72%,114.72%,686.70%,1199.00%,1326.13%,112.50%,-135.10%,95.00%,270.00%,1155.25%,1000.00%,873.85%,115.35%,-106.00%,177.00%,157.00%,1689.60%,1296.00%,1104.50%,134.25%,-134.75%,229.00%,157.00%,1310.25%,556.50%,896.00%,122.35%,-106.50%,140.00%,137.00%,20.00%
K48,(TOP)pino209,339.10%,245.60%,298.10%,41.50%,-2.50%,548.44%,74.44%,811.20%,1065.49%,1159.20%,57.25%,-72.25%,277.00%,463.00%,2049.50%,1129.00%,1233.35%,160.75%,-142.75%,420.00%,320.00%,2270.05%,1540.50%,1227.20%,138.25%,-130.75%,420.00%,172.00%,1651.85%,447.50%,1050.00%,118.75%,-63.00%,240.00%,191.00%,22.50%
K48,(TOP)JSc,317.60%,233.60%,271.10%,41.50%,-40.00%,631.44%,68.44%,1066.20%,1435.99%,1506.70%,136.50%,-148.00%,95.00%,403.00%,1939.50%,1169.00%,999.85%,167.75%,-142.75%,420.00%,304.00%,2127.55%,1148.00%,849.70%,150.25%,-128.75%,234.00%,93.00%,1455.85%,441.50%,967.50%,142.00%,-112.50%,141.00%,73.00%,22.50%
K48,(TOP)SoulBoss,309.60%,229.60%,245.60%,41.50%,-4.00%,547.04%,73.04%,859.20%,498.49%,962.20%,47.25%,-43.25%,132.00%,411.00%,2086.50%,1500.00%,848.35%,140.75%,-128.75%,250.00%,157.00%,2201.05%,1595.50%,1269.20%,136.75%,-134.75%,316.00%,139.00%,1720.85%,469.50%,1080.50%,136.50%,-132.50%,164.00%,95.00%,25.50%
K48,(TOP)Mas,292.71%,190.10%,211.60%,37.50%,-37.50%,94.20%,77.40%,1259.70%,1824.62%,946.50%,112.50%,-123.65%,85.00%,94.00%,1733.35%,1194.00%,546.50%,119.35%,-117.50%,128.00%,100.00%,653.25%,855.50%,722.85%,32.35%,-30.20%,34.00%,34.00%,735.45%,679.20%,163.00%,30.15%,-17.50%,30.00%,30.00%,12.00%
K48,(TOP)Nelliel,216.21%,227.60%,256.10%,40.00%,-40.00%,166.08%,174.72%,787.20%,1366.55%,1130.92%,132.75%,-139.25%,71.00%,88.00%,2306.05%,1572.50%,876.20%,148.00%,-138.75%,357.00%,154.00%,800.00%,892.00%,600.85%,54.75%,-42.75%,63.00%,55.00%,973.55%,301.20%,499.50%,39.50%,-15.00%,62.00%,55.00%,20.00%
K48,(TOP)DR,306.10%,269.10%,291.10%,41.50%,-41.50%,600.00%,218.28%,1181.20%,1219.99%,1419.70%,142.75%,-160.75%,270.00%,644.00%,1894.50%,1192.50%,1039.85%,156.50%,-144.75%,498.00%,380.00%,2184.05%,1193.00%,800.70%,156.50%,-134.75%,375.00%,245.00%,1758.85%,496.50%,1048.50%,142.00%,-128.50%,186.00%,142.00%,23.00%
K48,(TOP)Tommy95,318.21%,205.50%,254.00%,41.50%,-14.40%,486.92%,12.92%,734.20%,1032.50%,1011.00%,49.00%,-77.25%,119.00%,504.00%,2343.05%,1740.70%,859.00%,159.00%,-142.50%,302.00%,150.00%,1286.75%,928.50%,619.20%,150.25%,-128.50%,172.00%,114.00%,1068.45%,601.20%,410.50%,42.35%,-41.00%,120.00%,66.00%,20.50%
K48,(TOP)JonG,347.21%,235.40%,222.60%,40.00%,-35.00%,428.26%,29.46%,1407.70%,2269.55%,1256.57%,125.40%,-145.90%,83.00%,218.00%,2111.85%,1363.50%,708.50%,151.00%,-132.50%,330.00%,201.00%,1134.50%,967.50%,808.85%,96.50%,-89.00%,86.00%,56.00%,1000.20%,876.20%,332.50%,36.00%,-25.00%,43.00%,25.00%,24.00%
K48,(TOP)MARS,291.60%,276.60%,283.60%,40.00%,-41.50%,455.08%,46.36%,902.70%,650.42%,1339.12%,47.25%,-60.50%,174.00%,246.00%,1412.20%,1100.05%,1161.35%,152.50%,-138.50%,235.00%,158.00%,2107.05%,1394.20%,885.85%,139.00%,-114.50%,149.00%,93.00%,886.00%,395.50%,836.00%,135.00%,-112.50%,122.00%,81.00%,23.00%
K48,(TOP)BIOHAZZARD,322.35%,264.10%,271.60%,41.50%,-41.50%,310.84%,226.80%,800.20%,1071.34%,1327.20%,119.75%,-142.75%,148.00%,316.00%,1270.70%,831.70%,972.85%,147.50%,-120.50%,350.00%,243.00%,1999.55%,1349.50%,1113.35%,137.75%,-131.25%,232.00%,129.00%,1017.35%,428.50%,920.50%,81.50%,-57.50%,104.00%,52.00%,20.00%
