Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K162,(aaa)North,336.85%,280.60%,303.60%,43.75%,-41.50%,600.00%,341.12%,1160.70%,1236.42%,1836.12%,138.50%,-162.75%,137.00%,514.00%,1787.70%,1058.05%,1062.35%,169.25%,-138.50%,503.00%,265.00%,2303.05%,1603.70%,958.35%,152.75%,-138.75%,339.00%,269.00%,1206.00%,455.50%,1039.00%,51.50%,-41.00%,120.00%,87.00%,25.00%
K162,(aaa)溪蟒葬,263.60%,239.60%,257.60%,40.00%,-40.00%,257.20%,214.72%,1357.70%,1685.50%,1307.70%,122.50%,-139.75%,136.00%,501.00%,1479.00%,1063.00%,849.35%,132.00%,-118.50%,244.00%,132.00%,1910.35%,1379.00%,1067.00%,141.75%,-130.50%,431.00%,255.00%,1403.00%,834.50%,1114.00%,133.00%,-114.50%,153.00%,70.00%,20.00%
K162,(aaa)BERK,283.10%,237.60%,245.60%,40.00%,-38.50%,358.92%,221.48%,803.70%,1191.57%,1634.12%,120.50%,-136.50%,110.00%,194.00%,1522.50%,1139.35%,844.35%,48.50%,-28.00%,482.00%,316.00%,2237.05%,1706.70%,889.00%,140.00%,-121.00%,320.00%,168.00%,1241.00%,364.00%,872.00%,38.50%,-25.00%,47.00%,39.00%,21.50%
K162,(aaa)Viature,281.60%,255.60%,273.60%,40.00%,-40.00%,325.52%,185.28%,852.70%,1186.84%,1472.70%,134.75%,-149.75%,89.00%,162.00%,1286.70%,773.70%,933.35%,148.50%,-136.75%,291.00%,198.00%,2073.05%,1504.35%,793.70%,139.00%,-128.50%,86.00%,69.00%,900.35%,344.50%,848.50%,43.50%,-25.00%,70.00%,65.00%,21.50%
K162,(aaa)虎〆太郎,326.35%,230.10%,267.10%,41.50%,-41.50%,409.04%,136.80%,1178.50%,1767.57%,1300.49%,142.75%,-148.75%,74.00%,260.00%,1838.00%,1383.35%,802.00%,156.50%,-136.75%,476.00%,222.00%,2031.70%,1763.70%,1210.00%,138.25%,-136.75%,301.00%,118.00%,1086.00%,677.50%,876.00%,44.50%,-45.00%,65.00%,53.00%,22.50%
K162,(aaa)kingston,223.21%,186.60%,187.10%,37.50%,-37.50%,431.36%,81.44%,585.20%,689.84%,1101.05%,36.40%,-46.40%,96.00%,168.00%,943.70%,729.05%,469.35%,110.50%,-102.50%,185.00%,165.00%,1568.55%,1393.55%,456.00%,102.50%,-102.50%,73.00%,49.00%,432.70%,410.20%,167.00%,13.00%,-11.00%,49.00%,39.00%,2.00%
K162,(aaa)《杨家将》~~~,398.96%,300.85%,307.35%,43.75%,-43.75%,461.32%,284.52%,941.70%,1791.41%,1583.70%,124.50%,-154.50%,129.00%,517.00%,1720.00%,1278.00%,802.35%,153.50%,-144.75%,501.00%,331.00%,2061.05%,1618.00%,1243.70%,145.25%,-136.75%,249.00%,128.00%,1215.55%,778.20%,576.00%,118.50%,-100.50%,98.00%,73.00%,23.50%
K162,(aaa)Winterfell,341.60%,302.60%,334.60%,39.00%,-38.50%,379.76%,336.44%,726.70%,1284.57%,1683.12%,130.50%,-140.00%,302.00%,630.00%,1559.00%,1263.35%,1088.35%,136.25%,-128.75%,505.00%,288.00%,2407.05%,1602.70%,793.00%,148.00%,-118.75%,630.00%,369.00%,1377.50%,596.00%,1153.00%,130.00%,-112.50%,457.00%,218.50%,20.50%
K162,(aaa)杨家将~龙将,390.96%,256.10%,271.60%,41.50%,-41.50%,504.76%,264.44%,803.70%,1746.41%,1480.70%,124.50%,-149.75%,110.00%,381.00%,1626.00%,1231.00%,693.35%,142.25%,-136.75%,376.00%,249.00%,1915.05%,1562.00%,1219.70%,135.00%,-128.50%,167.00%,114.00%,1166.05%,653.20%,479.00%,111.10%,-88.60%,85.00%,65.00%,24.00%
K162,(aaa)一心一亿,355.85%,278.85%,282.35%,43.75%,-41.50%,354.56%,331.32%,973.20%,1175.42%,1759.05%,142.75%,-151.00%,213.00%,331.00%,1316.70%,1027.05%,1031.35%,163.00%,-143.00%,389.00%,249.00%,2179.55%,1825.20%,1153.35%,158.75%,-136.75%,232.00%,111.00%,972.50%,619.50%,1005.00%,146.50%,-128.50%,89.00%,69.00%,23.00%



